Date,Agency,Category,Information,
26. January 2026,Central Drugs Standard Control Organization,Guidance,"Central Drugs Standard Control Organization CDSCO Updated List of Laboratories for Conducting Performance Evaluation of 22 categories of IVD reagents/kits, spanning infectious diseases, genetic, oncological, and congenital conditions Regulatory Use: Applicable for performance evaluation studies required for import/manufacturing permissions under Indian IVD regulations",https://www.linkedin.com/feed/update/urn:li:activity:7419739659519303680/
26. January 2026,Egyptian Drug Authority,Guidance,Important Announcement Regarding Companies Not Responding to the Requirements of Pharmacovigilance,https://www.linkedin.com/feed/update/urn:li:activity:7419275391313272832/
26. January 2026,European Commission,Report,JAMS 2.0 D6.2: Summary on the Performance of Joint Inspections of Manufacturers (JIMs),https://www.linkedin.com/feed/update/urn:li:activity:7419725228747943936/
26. January 2026,European Medicines Agency,Guidance,European Medicines Agency Q & A on Signal Management,https://www.linkedin.com/feed/update/urn:li:activity:7419626810960855040/
26. January 2026,European Medicines Agency,Guidance,Questions and Answers on the OPEN Framework Opening our Procedures at European Medicines Agency EMA to Non-EU Authorities,https://www.linkedin.com/feed/update/urn:li:activity:7419616714524590080/
26. January 2026,European Medicines Agency,Guidance,Questions and Answers about the clinical study data proof-of-concept pilot for industry,https://www.linkedin.com/feed/update/urn:li:activity:7420360254128885760/
26. January 2026,European Medicines Agency,Guidance,European Medicines Agency Product Management Service (PMS) Frequently Asked Questions (FAQs),https://www.linkedin.com/feed/update/urn:li:activity:7420363470996488192/
26. January 2026,European Medicines Agency,SOP,Standard Operating Procedure Incident Management Plan for Medicines for Veterinary Use Describes the process to follow when the Incident Management Plan (IMP) for veterinary medicinal products is triggered at EU level,https://www.linkedin.com/feed/update/urn:li:activity:7419721621692657664/
26. January 2026,European Medicines Agency,Guidance,European Medicines Agency Annual Report of the Good Clinical Practice (GCP) Inspectors Working Group (IWG) 2024 adopted 15 December 2025 Inspections Conducted: 67 CHMP-requested GCP inspections,https://www.linkedin.com/feed/update/urn:li:activity:7419734125110001664/
26. January 2026,European Directorate for the Quality of Medicines & HealthCare,Guidance,How to present the specification for a substance in a CEP application?,https://www.linkedin.com/feed/update/urn:li:activity:7419629389426040832/
26. January 2026,Health Canada,Guidance,Device licence applications for diagnostic ultrasound systems and transducers: Notice to industry,https://www.linkedin.com/feed/update/urn:li:activity:7419270226145398785/
26. January 2026,Health Products Regulatory Authority (HPRA),Form,Notification of Withdrawal of Authorisations or Certificates for Human Medicines (AUT-F0099-6) Standard HPRA notification form for the withdrawal of authorisations or certificates for human medicinal products.,https://www.linkedin.com/feed/update/urn:li:activity:7420002046315073537/
26. January 2026,Health Sciences Authority,Guidance,Guidance on Therapeutic Product Registration in Singapore Updated January 2026 Updated HSA guidance consolidates current regulatory requirements for therapeutic product registration in Singapore,https://www.linkedin.com/feed/update/urn:li:activity:7418904098265014272/
26. January 2026,MedTech Europe,Response,MedTech Europe Public Consultation on EU rules on medical devices and in vitro diagnostics Response to the European Commission Call for Evidence on a targeted revision of EU MDR/IVDR.,https://www.linkedin.com/feed/update/urn:li:activity:7418912744285835264/
26. January 2026,MedTech Europe,Guidance,MedTech Europe Safeguarding intellectual property and trade secrets in the European Health Data Space,https://www.linkedin.com/feed/update/urn:li:activity:7418913553614692352/
26. January 2026,Department of Health and Social Care,Guidance,Designated standards for medical devices Updates the designated standards supporting the Medical Devices Regulations 2002 (S.I.,https://www.linkedin.com/feed/update/urn:li:activity:7418909285759246336/
26. January 2026,Department of Health and Social Care,Guidance,Designated standards for in vitro diagnostic medical devices Applies specifically to in vitro diagnostic (IVD) medical devices.,https://www.linkedin.com/feed/update/urn:li:activity:7418910599700471808/
26. January 2026,Department of Health and Social Care,Guidance,Designated standards for active implantable medical devices Applies to active implantable medical devices (AIMDs).,https://www.linkedin.com/feed/update/urn:li:activity:7418911416616841216/
26. January 2026,"MEDSAFE, New Zealand",Guidance,"New Medicine Applications Purpose: Draft Medsafe guidance describing requirements, pathways, and data expectations for New Medicine Applications (NMAs)",https://www.linkedin.com/feed/update/urn:li:activity:7419713750514958337/
26. January 2026,"MEDSAFE, New Zealand",Guidance,Changed Medicine Notifications and Non-Notifiable Changes,https://www.linkedin.com/feed/update/urn:li:activity:7419716759412441090/
26. January 2026,"MEDSAFE, New Zealand",Consultation,Clinical Trials - Regulatory Approval and Good Clinical Practice Requirements (January 2026) Regulatory authority: Medsafe administers clinical trial approvals under Section 30 of the Medicines Act 1981,https://www.linkedin.com/feed/update/urn:li:activity:7419267485578727424/
26. January 2026,Medicines and Healthcare products Regulatory Agency,Guidance,"Quarterly Summary Reports - Guidance and Template for Manufacturers / Sponsors (Devices Only), January 2026",https://www.linkedin.com/feed/update/urn:li:activity:7418907023674753024/
