Date,Agency,Category,Title,Link
23. February 2026,ANVISA,Meeting,"ANVISA In the second meeting of the year, Anvisa highlights the role of the National Surveillance System",https://www.linkedin.com/feed/update/urn:li:activity:7427976726443560962/
23. February 2026,Egyptian Drug Authority (EDA),Guidance,"Mechanism for Facilitating Certain Medical Device Registration Procedures 12 February 2026, the Egyptian Drug Authority (EDA) introduced facilitation measures easing for medical device registration.",https://www.linkedin.com/feed/update/urn:li:activity:7427989257115426816/
23. February 2026,EU Health and Food Safety,Report,Member State Coordination Group on Health Technology Assessment - 2025 Annual Report 2025 marks transition from preparatory phase to active operational delivery under the EU HTA framework,https://www.linkedin.com/feed/update/urn:li:activity:7429490121692930048/
23. February 2026,European Data Protection Supervisor,Opinion,European Data Protection Board EDPB- EDPS - European Data Protection Supervisor EDPS Joint Opinion 2/2026 on the Digital Omnibus Key GDPR Positions,https://www.linkedin.com/feed/update/urn:li:activity:7427974115497578496/
23. February 2026,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe",Guidance,Use of CESP to submit electronic documents to EDQM,https://www.linkedin.com/feed/update/urn:li:activity:7429778346865160192/
23. February 2026,European Medicines Agency,Guidance,ICH M15 Guideline on General Principles for Model-Informed Drug Development (Step 5),https://www.linkedin.com/feed/update/urn:li:activity:7429112548353978368/
23. February 2026,European Medicines Agency,Meeting,Meeting highlights from the Pharmacovigilance Risk Assessment Committee (PRAC) 912 February 2026 Key Safety Decision:,https://www.linkedin.com/feed/update/urn:li:activity:7429119286830551040/
23. February 2026,European Medicines Agency,Report,European Medicines Agency Review of the stepwise paediatric investigation plan (sPIP) pilot: Outcomes and future perspective,https://www.linkedin.com/feed/update/urn:li:activity:7429495034527354880/
23. February 2026,European Medicines Agency,Report,European Medicines Agency Monthly statistics report: January 2026 - Medicinal products for human use Pre-authorisation Activity (YTD 2026):,https://www.linkedin.com/feed/update/urn:li:activity:7429496157363548160/
23. February 2026,European Medicines Agency,Concept Paper,European Medicines Agency Official & Pharmaceutical Inspection Co-operation Scheme (PIC/S) Revision of the guidelines on Good Manufacturing Practice for medicinal products Annex 6: Manufacture of Medicinal Gases Scope: Revision of EudraLex Volume 4 Annex 6 (Medicinal Gases),https://www.linkedin.com/feed/update/urn:li:activity:7429533369010626560/
23. February 2026,European Medicines Agency,Concept Paper,European Medicines Agency Revision of the Guideline on veterinary good pharmacovigilance practices (VGVP) Module: Signal Management Rationale for Revision,https://www.linkedin.com/feed/update/urn:li:activity:7429537084748652544/
23. February 2026,European Medicines Agency,Concept Paper,European Medicines Agency Guideline on clinical investigation of medicinal products in the treatment of Myasthenia Gravis Public consultation: 13 February 30 August 2026,https://www.linkedin.com/feed/update/urn:li:activity:7429549496272949248/
23. February 2026,European Union Agency for Cybersecurity (ENISA),Report,European Union Agency for Cybersecurity (ENISA) A International Strategy (January 2026),https://www.linkedin.com/feed/update/urn:li:activity:7429120871023353856/
23. February 2026,European Union Agency for Cybersecurity (ENISA),Guidance,Cybersecurity Exercise Methodology End-to-End Guide (February 2026),https://www.linkedin.com/feed/update/urn:li:activity:7429785548724043777/
23. February 2026,Health Products Regulatory Authority (HPRA),Newsletter,Health Products Regulatory Authority (HPRA) Registration of Homeopathic Veterinary Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7429404242693591040/
23. February 2026,Health Products Regulatory Authority (HPRA),Newsletter,Health Products Regulatory Authority (HPRA) Guide for National Scientific and Regulatory Advice (HPRA),https://www.linkedin.com/feed/update/urn:li:activity:7430165382960721920/
23. February 2026,Health Sciences Authority,Response,Response to Feedback from Public Consultation on the Proposed Exemption from Manufacturers Licensing and Product Registration Requirements for Artificial Intelligence Software as a Medical Device (AI-SaMD) Policy Objective: Introduce a regulatory AI-SaMD sandbox for selected public healthcare entities.,https://www.linkedin.com/feed/update/urn:li:activity:7429120065725227009/
23. February 2026,Medical Device Authority,Guidance,Withdrawal of Guidance Document MDA/GD/0066 - Importation of Medical Device for Personal Use,https://www.linkedin.com/feed/update/urn:li:activity:7429781749036998657/
23. February 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines and Healthcare products Regulatory Agency Timelines for acceptance of CE marked medical devices in Great Britain (GB),https://www.linkedin.com/feed/update/urn:li:activity:7429389150203703296/
23. February 2026,Medicines and Healthcare products Regulatory Agency,Consultation,Medicines and Healthcare products Regulatory Agency Medical devices regulations: targeted consultation on the indefinite recognition of CE marked devices Context:,https://www.linkedin.com/feed/update/urn:li:activity:7429389159842086912/
23. February 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Guide to Defective Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7429404296640843776/
23. February 2026,Medicines and Healthcare products Regulatory Agency,Newsletter,"Medicines and Healthcare products Regulatory Agency Clinical trials regulations: transitional arrangements (MHRA) Applies to amendments to the Medicines for Human Use (Clinical Trials) Regulations 2004, effective 28 April 2026.",https://www.linkedin.com/feed/update/urn:li:activity:7430168211947638785/
23. February 2026,MedTech Europe,Presentation,"MedTech Europe The Polish Medtech Market - Training Webinar: Market Figures and Facts (January 2026) Market structure, financing pillars, reimbursement mechanisms, and trade rules relevant to medical devices in Poland.",https://www.linkedin.com/feed/update/urn:li:activity:7429486329035513857/
23. February 2026,Ministry of Food and Drug Safety of Republic of Korea,Regulation,Medical Device GMP Regulations February 2026 The February 2026 edition reflects multiple 2025 amendments and enactments.,https://www.linkedin.com/feed/update/urn:li:activity:7427966615469756416/
23. February 2026,NMPA-National Medical Products Administration,Notice,NMPA-National Medical Products Administration Printing and Distributing the 2026 Medical Device Industry Standard Formulation and Revision Plan Project,https://www.linkedin.com/feed/update/urn:li:activity:7427980423626121216/
23. February 2026,South African Health Products Regulatory Authority,Guidance,"License Applications for Importation, Manufacturing and Use of Laser Systems",https://www.linkedin.com/feed/update/urn:li:activity:7429404283554549760/
23. February 2026,South African Health Products Regulatory Authority,Guidance,Regulatory Process of Annual Submission of Compliance Information (ASOCI),https://www.linkedin.com/feed/update/urn:li:activity:7429404290693226496/
23. February 2026,South African Health Products Regulatory Authority,Guidance,Regulatory Process for Magnetic Resonance Imaging (MRI) Equipment,https://www.linkedin.com/feed/update/urn:li:activity:7429404283554549760?
23. February 2026,Swissmedic,Forms,Swissmedic Forms for February 2026,
