Date,Agency,Category,Information,
8. December 2025,ANVISA Brazil,Guidance,List of processes withdrawn and replaced according to RDC 997/2025 rules,https://www.linkedin.com/feed/update/urn:li:activity:7402596790681640960?
8. December 2025,Central Drugs Standard Control Organization,Guidance,Risk classification list of medical devices pertaining to Radiotherapy,https://www.linkedin.com/feed/update/urn:li:activity:7401541732405780480?
8. December 2025,Central Drugs Standard Control Organization,Guidance,Risk classification list of medical devices pertaining to Interventional Radiology,https://www.linkedin.com/feed/update/urn:li:activity:7401544020927352832?
8. December 2025,European Commission,Study overview,Survey results of the 2nd EO survey with data status 31 October 2024,https://www.linkedin.com/feed/update/urn:li:activity:7401492858928537601?
8. December 2025,European Commission,Consultation,Health hazards and risks associated with the use of brain stimulators,https://www.linkedin.com/feed/update/urn:li:activity:7401883981719314432?
8. December 2025,European Directorate for the Quality of Medicines & HealthCare,Consultation,Requirements for Revision/Renewal of Certificates of Suitability (CEPs),https://www.linkedin.com/feed/update/urn:li:activity:7401529325591842816?
8. December 2025,European Directorate for the Quality of Medicines & HealthCare,Report,Report of the 4th Conference on NGS for Adventitious Virus Detection,https://www.linkedin.com/feed/update/urn:li:activity:7401531872729595904?
8. December 2025,European Directorate for the Quality of Medicines & HealthCare,Guidance,Herbal Food Supplements - Guide for Healthcare Professionals,https://www.linkedin.com/feed/update/urn:li:activity:7402606446732840960?
8. December 2025,European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee (PRAC) 24 - 27 November 2025,https://www.linkedin.com/feed/update/urn:li:activity:7401153359333859328?
8. December 2025,European Medicines Agency,Paper,Need to revise clinical investigation of products for treatment of Parkinson’s disease,https://www.linkedin.com/feed/update/urn:li:activity:7401522927625478144?
8. December 2025,European Medicines Agency,Guidance,"Questions & Answers for applicants, marketing authorisation holders of medicinal products and notified bodies regarding medicines used in combination with medical devices and consultation procedures for certain medical devices",https://www.linkedin.com/feed/update/urn:li:activity:7401847678311227392?
8. December 2025,European Medicines Agency,Guidance,"How to create, submit and manage IRIS applications",https://www.linkedin.com/feed/update/urn:li:activity:7401847667888345088?
8. December 2025,European Medicines Agency,Guidance,Union Product Database (UPD) -Questions & Answers -Network Use,https://www.linkedin.com/feed/update/urn:li:activity:7401847671126249472?
8. December 2025,European Medicines Agency,CPAR,Human Serum Albumin (HSA) used as an ancillary medicinal substance,https://www.linkedin.com/feed/update/urn:li:activity:7402602927862960128?
8. December 2025,"Health Products Regulatory Authority (HPRA), Ireland",Form,Application for Export Authorisation for Precursor Chemicals,https://www.linkedin.com/feed/update/urn:li:activity:7402597729904001024?
8. December 2025,Medical Device Authority Malaysia,Update,Enforcement Date for Medical Device Import Permit,https://www.linkedin.com/feed/update/urn:li:activity:7401538411515518978?
8. December 2025,Medical Device Authority Malaysia,Consultation,Change Management for Registered Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7401872207213395968?
8. December 2025,Medical Device Authority Malaysia,Consultation,Definition of Medical Device,https://www.linkedin.com/feed/update/urn:li:activity:7402609406535733248?
8. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: get regulatory advice from the MHRA,https://www.linkedin.com/feed/update/urn:li:activity:7402242158377836544?
8. December 2025,Swissmedic,Forms,Swissmedic Forms for December 2025,
8. December 2025,Swissmedic,Guidance,OMCL -Official Control Authority Batch Release,https://www.linkedin.com/feed/update/urn:li:activity:7401122890278133760?
8. December 2025,Swissmedic,Guidance,Environmental conditions for the microbiological examination,https://www.linkedin.com/feed/update/urn:li:activity:7401122900558184448?
8. December 2025,Swissmedic,Guidance,Packaging for human medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7401533570286059520?
8. December 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Varying entries in the ARTG-Medical devices and IVD medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7401879601527881728?
8. December 2025,USA Food & Drug Administration FDA,Guidance,Medical Gases - Current Good Manufacturing Practice,https://www.linkedin.com/feed/update/urn:li:activity:7401158176479334401?
8. December 2025,USA Food & Drug Administration FDA,Guidance,ICH Q3E: Guideline for Extractables & Leachables -Supporting Documentation,https://www.linkedin.com/feed/update/urn:li:activity:7401159858856632320?
8. December 2025,USA Food & Drug Administration FDA,Guidance,ICH Q3E Guideline for Extractables and Leachables,https://www.linkedin.com/feed/update/urn:li:activity:7401162873768529920?
8. December 2025,USA Food & Drug Administration FDA,Guidance,QTc Information in Human Prescription Drug and Biological Product Labeling,https://www.linkedin.com/feed/update/urn:li:activity:7401866677950447616?
8. December 2025,USA Food & Drug Administration FDA,Guidance,Monoclonal Antibodies: Streamlined Nonclinical Safety Studies,https://www.linkedin.com/feed/update/urn:li:activity:7401866088143269888?
8. December 2025,USA Food & Drug Administration FDA,Guidance,eCopy Program for Medical Device Submissions,https://www.linkedin.com/feed/update/urn:li:activity:7402235347582996480?
8. December 2025,USA Food & Drug Administration FDA,Report,Accelerating Rare Disease Cures (ARC) Program - Annual Report 20252,https://www.linkedin.com/feed/update/urn:li:activity:7402238734408241152?
8. December 2025,World Health Organisation WHO,Report,Global strategy on digital health 2020-2027,https://www.linkedin.com/feed/update/urn:li:activity:7401875694374264832?
