Date,Agency,Category,Information,
24. November 2025,MedTech Leading Voice,Flipbook,MedTech Leading Voice Regulatory Roundup Monday 24. November 2025,
24. November 2025,ANVISA Brazil,Guidance,New Medical Device Certificate Tool Integrated into Solicita,https://www.linkedin.com/feed/update/urn:li:activity:7396792265441964032?
24. November 2025,Egyptian Drug Authority,Consultation,Veterinary Medicine Good Pharmacovigilance Practices in Egypt (VGVP),https://www.linkedin.com/feed/update/urn:li:activity:7396492738449272833?
24. November 2025,Egyptian Drug Authority,Consultation,Nitrosamine Impurities in Drug Substances and Pharmaceutical Drug Products,https://www.linkedin.com/feed/update/urn:li:activity:7396496526107152384?
24. November 2025,Egyptian Drug Authority,Consultation,File Assessment for Pharmaceutical Products for Human Use,https://www.linkedin.com/feed/update/urn:li:activity:7397174646782980096?
24. November 2025,European Commission,Consultation,Digital fitness check - testing the cumulative impact of the EU's digital rules,https://www.linkedin.com/feed/update/urn:li:activity:7397538637355274240?
24. November 2025,European Commission,Proposal,Amending harmonised rules on artificial intelligence (Digital Omnibus on AI),https://www.linkedin.com/feed/update/urn:li:activity:7397603393751502848?
24. November 2025,European Medicines Agency,Guidance,ETF scientific advice that facilitates clinical trial authorisations (SA-CTA),https://www.linkedin.com/feed/update/urn:li:activity:7396486310326214656?
24. November 2025, French Ministry of Health,Report,The French National Strategy for Artificial Intelligence and Health Data (2025–2028),https://www.linkedin.com/feed/update/urn:li:activity:7397542309053190144?
24. November 2025,Health Canada,Consultation,Modernizing the medical device establishment licensing (MDEL) framework,https://www.linkedin.com/feed/update/urn:li:activity:7396455053412368384?
24. November 2025,Medicines and Healthcare products Regulatory Agency,Consultation,International Council for Harmonisation Q3E for Extractables and Leachables,https://www.linkedin.com/feed/update/urn:li:activity:7396797472918122496?
24. November 2025,MedTech Europe,Response,MedTech Europe's response to the publication of the Digital Omnibus package,https://www.linkedin.com/feed/update/urn:li:activity:7397939135686279168?
24. November 2025,MedTech Europe,Letter,Proposal to Amend Annex I of EU Implementing Regulation 2021/632,https://www.linkedin.com/feed/update/urn:li:activity:7397938380979851264?
24. November 2025,Sedgwick,Report,Recall Index Report United States edition Q3 2025,https://www.linkedin.com/feed/update/urn:li:activity:7397558554297122816?
24. November 2025,Sedgwick,Report,Recall Index Report Europe edition Q3 2025,https://www.linkedin.com/feed/update/urn:li:activity:7397697247922061312?
24. November 2025,South African Health Products Regulatory Authority,Guidance,Core Business Escalation Procedure,https://www.linkedin.com/feed/update/urn:li:activity:7396794781919506432?
24. November 2025,Swissmedic,Forms,Swissmedic Forms for November 2025,
24. November 2025,Swissmedic,Guidance,Export Certificates,https://www.linkedin.com/feed/update/urn:li:activity:7396449694157254656?
24. November 2025,Swissmedic,Guidance,Service Agreement Export Certificates MEP,https://www.linkedin.com/feed/update/urn:li:activity:7397535001841598464?
24. November 2025,Swissmedic,Guidance,eGov Services BNB Modul OCABR,https://www.linkedin.com/feed/update/urn:li:activity:7397640780213022720?
24. November 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Essential Principles on the safety and performance of medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7397172396270567424?
24. November 2025,USA Food & Drug Administration FDA,Guidance,Considerations for Waiver Requests for pH Adjusters in Generic Drug Products,https://www.linkedin.com/feed/update/urn:li:activity:7396456823568105472?
24. November 2025,World Health Organisation WHO,Guidance,Development of medical devices policies,https://www.linkedin.com/feed/update/urn:li:activity:7397605503406821376?

