Date,Agency,Category,Title,Link
6. April 2026,ANMPS Tunisia,Guidance,"The National Agency for Medicines and Health Products (ANMPS) has officially published its Guideline on Bioequivalence Centers, now open for public consultation.",https://www.linkedin.com/feed/update/urn:li:activity:7445333375243980800/
6. April 2026,ANMPS Tunisia,Announcement,"The National Agency for Medicines and Health Products (ANMPS) has released a key communication outlining the updated roadmap for eCTD implementation,",https://www.linkedin.com/feed/update/urn:li:activity:7444805559461142528/
6. April 2026,Drug Regulatory Authority of Pakistan,Guidance,DRAP Notification S.R.O.,https://www.linkedin.com/feed/update/urn:li:activity:7445719589562445824/
6. April 2026,Drug Regulatory Authority of Pakistan,Guidance,DRAP Annex VI(A) - Requirements for Grant of Drug Manufacturing License (Blood/Plasma Establishments - Basic & Semi-Basic Manufacturing) New DRAP framework (Dec 2025) Establishes GMP-based plasma licensing system in Pakistan.,https://www.linkedin.com/feed/update/urn:li:activity:7445722706299408385/
6. April 2026,"Department of Health, HKSAR Government",Guidance,Medical Device Administrative Control System (MDACS) Combination Products (TR-010:2026),https://www.linkedin.com/feed/update/urn:li:activity:7444992182538850304/
6. April 2026,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe",Article,Can We Have European Anti-D Plasma Collection Programmes?,https://www.linkedin.com/feed/update/urn:li:activity:7444608635101499392/
6. April 2026,European Commission,Guidance,Article 10a Decision Tree (Regulation (EU) 2024/1860),https://www.linkedin.com/feed/update/urn:li:activity:7445319115289874432/
6. April 2026,European Commission,Guidance,Q&A on Article 10a MDR/IVDR Interruption or Discontinuation of Supply (Rev.,https://www.linkedin.com/feed/update/urn:li:activity:7445319121719808000/
6. April 2026,European Commission,Training,"EMDN Second Training Recording Structure, Consultation & Practical Application Scope of Training:",https://www.linkedin.com/feed/update/urn:li:activity:7444982902062333952/
6. April 2026,European Commission,Report,Study Supporting the Monitoring of Availability of Medical Devices on the EU Market 18th NB Survey Results (March 2026),https://www.linkedin.com/feed/update/urn:li:activity:7444989008041910272/
6. April 2026,European Medicines Agency,Article,Questions & Answers on the Implementation of 3DP Technology (Additive Manufacturing Technology) for Solid Oral Dosage Forms Scope,https://www.linkedin.com/feed/update/urn:li:activity:7443239896904814592/
6. April 2026,European Medicines Agency,Article,"EMA's human medicines committee, the CHMP, recommended 5 new medicines for approval in the EU",https://www.linkedin.com/feed/update/urn:li:activity:7443715414972489728/
6. April 2026,European Medicines Agency,Guidance,Clinical Trial Information System (CTIS) Sponsor Handbook User Guidance on the Sponsors Workspace (v6.2) CTIS Overview,https://www.linkedin.com/feed/update/urn:li:activity:7443250985487085568/
6. April 2026,European Medicines Agency,Guidance,Clinical Trial Information System (CTIS) Frequently Asked Questions (FAQs) on the Sponsors Structure (Lifecycle-Based),https://www.linkedin.com/feed/update/urn:li:activity:7443255653382582273/
6. April 2026,European Medicines Agency,CECP Expert Panel Opinion,List of CECP Opinions Issued (Medical Devices Under Conformity Assessment) Updated EMA transparency list (March 2026) of CECP opinions issued by expert panels,https://www.linkedin.com/feed/update/urn:li:activity:7445730040325095424/
6. April 2026,European Medicines Agency,CECP Expert Panel Opinion,"Implantable Cardiac Device (INGEVITY+ Lead, NB 2797) Expert panel confirms benefitrisk acceptable but requires enhanced PMCF data collection",https://www.linkedin.com/feed/update/urn:li:activity:7445727797722935298/
6. April 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: guidance on compliance with ICH E6 good clinical practice Explains implementation and compliance with ICH E6(R3) GCP in UK trials,https://www.linkedin.com/feed/update/urn:li:activity:7444267391850663936/
6. April 2026,European Union Agency for Cybersecurity (ENISA),Article,Market Analysis Framework (ECSMAF) V3.0 (March 2026)),https://www.linkedin.com/feed/update/urn:li:activity:7444609233054158848/
6. April 2026,Health Canada,Guidance,"Guidance on Interpretation of Significant Change of a Medical Device General Principle: Any change affecting risk profile, hazards, or performance is likely significant",https://www.linkedin.com/feed/update/urn:li:activity:7444985812779175936/
6. April 2026,Health Canada,Guidance,Regulatory Enrolment Process (REP),https://www.linkedin.com/feed/update/urn:li:activity:7445015112949813248/
6. April 2026,Health Products Regulatory Authority (HPRA),Article,Guide to Labels and Leaflets of Human Medicines,https://www.linkedin.com/feed/update/urn:li:activity:7444607263396425728/
6. April 2026,Health Sciences Authority,Guidance,"Regulatory Updates on Therapeutic Product Registration (HSA Singapore, 1 April 2026) Recent Changes:",https://www.linkedin.com/feed/update/urn:li:activity:7445012960340557825/
6. April 2026,Medicines and Healthcare products Regulatory Agency,Article,Clinical trials for medicines: guidance on quality and risk proportionality Guidance on applying quality by design and risk-proportionate oversight in UK clinical trials,https://www.linkedin.com/feed/update/urn:li:activity:7445854494128726018/
6. April 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: guidance on compliance with ICH E6 good clinical practice Explains implementation and compliance with ICH E6(R3) GCP in UK trials,https://www.linkedin.com/feed/update/urn:li:activity:7444267391850663936/
6. April 2026,Medicines and Healthcare products Regulatory Agency,Announcement,"From today, the MHRA and NICE - National Institute for Health and Care Excellence Aligned Pathway, supported by an improved Integrated Scientific Advice service are fully open for business.",https://www.linkedin.com/feed/update/urn:li:activity:7445166812398292992/
