Date,Agency,Category,Title,Link
23. March 2026,Egyptian Drug Authority,Guidance,Update of the Mechanism for Adding / Transferring the Manufacturing Site of Registered Local Human and Veterinary Medical Preparations Applications: Companies must submit a variation request per strength through the EDA variation system and pay applicable fees.,https://www.linkedin.com/feed/update/urn:li:activity:7438160845433401344/
23. March 2026,Egyptian Drug Authority (EDA),Announcement,Egyptian Drug Authority Granting Additional Deadlines to Complete Veterinary Registration Procedures (EDA) The Egyptian Drug Authority (EDA) announced extended deadlines for companies to complete veterinary product registration procedures,https://www.linkedin.com/feed/update/urn:li:activity:7439976156604329984/
23. March 2026,Egyptian Drug Authority (EDA),Announcement,Egyptian Drug Authority Opening of the Analogue Box for Dental Anesthesia Products (EDA) The Egyptian Drug Authority (EDA) announced the temporary opening of the analogue box for dental anesthesia products,https://www.linkedin.com/feed/update/urn:li:activity:7439977733251579904/
23. March 2026,European Commission,Fachtsheets,European Reference Networks (ERNs) European Commission,https://www.linkedin.com/feed/update/urn:li:activity:7439559740042543104/
23. March 2026,European Data Protection Board,Opinion,EDPB-EDPS Joint Opinion 4/2026 on the Proposal for a Cybersecurity Act 2 and amendments to the NIS 2 Directive Review of CSA2 + NIS2 proposals with focus on data protection impact,https://www.linkedin.com/feed/update/urn:li:activity:7440694648106450946/
23. March 2026,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe",Report,"Increasing and Improving Plasma Collection in Europe EU plasma collection remains insufficient (7080% self-sufficiency), requiring significant annual growth",https://www.linkedin.com/feed/update/urn:li:activity:7439569414280073216/
23. March 2026,European Medicines Agency,Guidance,"Union Product Database (UPD) Release Notes Version 1.7.2615 (EMA) Release Overview: EMA UPD version 1.7.2615 released 16 March 2026 with new functionalities, validations, and issue fixes",https://www.linkedin.com/feed/update/urn:li:activity:7439566489197785089/
23. March 2026,European Medicines Agency,Guidance,Network Portfolio Roadmap 2025 and Beyond (EMA),https://www.linkedin.com/feed/update/urn:li:activity:7440290438042836992/
23. March 2026,European Medicines Agency,Report,Progressing EMAs Priority Medicines (PRIME) Scheme Through New Pilot Features,https://www.linkedin.com/feed/update/urn:li:activity:7440293782358683648/
23. March 2026,European Medicines Agency,Report,"2025 Annual Report on EudraVigilance for the European Parliament, the Council and the Commission",https://www.linkedin.com/feed/update/urn:li:activity:7440680132622741504/
23. March 2026,Health Canada,Announcement,Sante Canada Change in Classification of COVID-19 Testing Devices: Notice to Industry,https://www.linkedin.com/feed/update/urn:li:activity:7440284767784366080/
23. March 2026,Health Sciences Authority HSA ,Announcement,Deepens International Partnerships and Regulatory Reliances to Grow Biomedical Sector Announced during the 29th session of the International Medical Device Regulators Forum (IMDRF) hosted in Singapore.,https://www.linkedin.com/feed/update/urn:li:activity:7438166622093201408/
23. March 2026,Medical Device Authority,Announcement,(MDA) Participates in WHO Collaborative Registration Procedure (CRP) for Prequalified In Vitro Diagnostics,https://www.linkedin.com/feed/update/urn:li:activity:7440288564296212481/
