Date,Agency,Category,Title,Link
10. August 2026,AIFA Agenzia Italiana del farmaco ,Guidance,Linee di indirizzo Utilizzo di sistemi di Intelligenza Artificiale nei Materiali Promozionali (Use of Artificial Intelligence Systems in Promotional Materials),https://www.linkedin.com/feed/update/urn:li:activity:7487728889583165441/
10. August 2026,European Commission,Regulation,Regulation (EU) 2026/1744 Digital Omnibus on Artificial Intelligence,https://www.linkedin.com/feed/update/urn:li:activity:7487371249099186176/
10. August 2026,European Union Agency for Cybersecurity (ENISA),Consultation,Have Your Say on the Certification of EU Managed Security Services,https://www.linkedin.com/feed/update/urn:li:activity:7487371210633334784/
10. August 2026,European Union Agency for Cybersecurity (ENISA),Guidance,Secure by Design and Default Playbook: A Practical Guide to Secure by Design and Default Principles for SMEs,https://www.linkedin.com/feed/update/urn:li:activity:7488574123569360896/
10. August 2026,European Union Agency for Cybersecurity (ENISA),Platform,Single Reporting Platform (SRP),https://www.linkedin.com/feed/update/urn:li:activity:7490997814605381632/
10. August 2026,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,https://www.linkedin.com/feed/update/urn:li:activity:7487384928511307776/
10. August 2026,European Medicines Agency,Guidance,Quality and Safety Aspects of RNA Interference and RNA Antisense Oligonucleotide Therapies as Veterinary Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7487728043931734016/
10. August 2026,European Medicines Agency,Guidance,Veterinary Good Pharmacovigilance Practices (VGVP) Rev.1 (Draft),https://www.linkedin.com/feed/update/urn:li:activity:7488088676988526592/
10. August 2026,Health Canada,Consultation,Sante Canada Pharmaceutical and Life Sciences Sector Task Force,https://www.linkedin.com/feed/update/urn:li:activity:7487727414240915457/
10. August 2026,Health Canada,Consultation,Sante Canada Proposed Changes to the List of Recognized Standards for Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7488090639151120384/
10. August 2026,Health Canada,Portal,Sante Canada launches new clinical trial search portal and issues guidance on trial registration and results disclosure,https://www.linkedin.com/feed/update/urn:li:activity:7488477357427703812/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Guidance,The MHRA Approval Process for Clinical Investigations,https://www.linkedin.com/feed/update/urn:li:activity:7487371234700259328/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical Investigations in Great Britain,https://www.linkedin.com/feed/update/urn:li:activity:7487371235031547904/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Submitting a Clinical Investigation Proposal for MHRA Assessment The MHRA updated this guidance to clarify submission requirements for medical device clinical investigations.,https://www.linkedin.com/feed/update/urn:li:activity:7487371235690049536/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Magnetic Resonance Imaging Equipment in Clinical Use,https://www.linkedin.com/feed/update/urn:li:activity:7488823456931770368/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Ambient Voice Technology-Enabled Products: Device Qualification and Classification,https://www.linkedin.com/feed/update/urn:li:activity:7488465072013348865/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Innovative Licensing and Access Pathway (ILAP),https://www.linkedin.com/feed/update/urn:li:activity:7490995639909113856/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Report,AI Airlock Sandbox Phase 2 Programme Report,https://www.linkedin.com/feed/update/urn:li:activity:7487734038984658944/
10. August 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: MHRA phase I accreditation scheme,https://www.linkedin.com/feed/update/urn:li:activity:7489907967140642816/
