Date,Agency,Category,Information,
17. November 2025,European Commission,Pilot,Pilot coordinated assessment for CI_PS,https://www.linkedin.com/feed/update/urn:li:activity:7394254480814530561?
17. November 2025,European Commission,Guidance,MDCG 2025-8 - Implementation of UDI-DI solution for spectacle frames,https://www.linkedin.com/feed/update/urn:li:activity:7394765627233828864?
17. November 2025,European Medicines Agency,Guidance,Clinical Trial Information System (CTIS) Sponsor Handbook - Version 6.1,https://www.linkedin.com/feed/update/urn:li:activity:7393527838215208960?
17. November 2025,European Medicines Agency,Guidance,"Union Product Database (UPD) - Release Notes, Version 1.7.2541A",https://www.linkedin.com/feed/update/urn:li:activity:7393527909837074432?
17. November 2025,European Medicines Agency,Guidance,Non-Inferiority and Equivalence Comparisons in Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7395037170261975040?
17. November 2025,European Medicines Agency,Report,Nanotechnology-based medicinal products for human use,https://www.linkedin.com/feed/update/urn:li:activity:7394261035303731200?
17. November 2025,European Medicines Agency,Report,Engineered Living Materials for In Situ Production of Therapeutics,https://www.linkedin.com/feed/update/urn:li:activity:7394264220235886592?
17. November 2025,European Medicines Agency,Report,Faecal Microbiota Transplantation,https://www.linkedin.com/feed/update/urn:li:activity:7394266731105452032?
17. November 2025,European Medicines Agency,Comments,ICH E21 - Overview of comments,https://www.linkedin.com/feed/update/urn:li:activity:7395040669070827520?
17. November 2025,European Medicines Agency,Concept Paper,Development of new medicinal products for treatment of Ulcerative Colitis,https://www.linkedin.com/feed/update/urn:li:activity:7395044944001933313?
17. November 2025,European Medicines Agency,Concept Paper,Medicinal products for the management of Crohn's disease,https://www.linkedin.com/feed/update/urn:li:activity:7395048820822364160?
17. November 2025,European Medicines Agency,Concept Paper,Clinical investigation of idiopathic pulmonary fibrosis (IPF),https://www.linkedin.com/feed/update/urn:li:activity:7395052274001281024?
17. November 2025,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 10-13 November 2025,https://www.linkedin.com/feed/update/urn:li:activity:7395355619710640128?
17. November 2025,European Directorate for the Quality of Medicines & HealthCare,Guidance,Stepwise Process to Get a CEP or Having a Change Approved,https://www.linkedin.com/feed/update/urn:li:activity:7393543034036035584?
17. November 2025,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report of Activities - End of October 2025,https://www.linkedin.com/feed/update/urn:li:activity:7393535435773480960?
17. November 2025,European Data Protection Supervisor,Report,Risk Management of Artificial Intelligence systems,https://www.linkedin.com/feed/update/urn:li:activity:7394246753190875136?
17. November 2025,"Health Products Regulatory Authority (HPRA), Ireland",Report,"Outcome, Public Consultation on proposed fees for 2026",https://www.linkedin.com/feed/update/urn:li:activity:7393542945993510912?
17. November 2025,"Health Products Regulatory Authority (HPRA), Ireland",Form,Registration of Category 3 Scheduled Substances (Precursor Chemicals),https://www.linkedin.com/feed/update/urn:li:activity:7395033520080834560?
17. November 2025,Medical Device Authority Malaysia,Guidance,Implementation of Validity Period for Product Classification Letter,https://www.linkedin.com/feed/update/urn:li:activity:7394258713643065344?
17. November 2025,Medicines and Healthcare products Regulatory Agency,Guidance,"Access, new active substance and biosimilar work sharing initiatives",https://www.linkedin.com/feed/update/urn:li:activity:7393909058677723137?
17. November 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices - Guidance on notifying the MHRA,https://www.linkedin.com/feed/update/urn:li:activity:7394630298145103873?
17. November 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: apply for authorisation in the UK,https://www.linkedin.com/feed/update/urn:li:activity:7395024588289613825?
17. November 2025,Swissmedic,Forms,Swissmedic Forms for November 2025,
17. November 2025,Swissmedic,Guidance,Authorisation of herbal medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7394634107856658433?
17. November 2025,Swissmedic,Guidance,Out-of-Stock Situation,https://www.linkedin.com/feed/update/urn:li:activity:7394637432685568001?
17. November 2025,"Team Notified Body, Europe",Position Paper,Changes to CDx under the IVDR that require prior notified body approval,https://www.linkedin.com/feed/update/urn:li:activity:7395065972551737344?
17. November 2025,"Team Notified Body, Europe",Position Paper,MDR formal application & appropriate surveillance of legacy devices,https://www.linkedin.com/feed/update/urn:li:activity:7395083880434921472?
17. November 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Instructions for Disinfectant Testing,https://www.linkedin.com/feed/update/urn:li:activity:7393527845811023872?
17. November 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Becoming an Authorised Prescriber for Unapproved Therapeutic Goods,https://www.linkedin.com/feed/update/urn:li:activity:7393527895144579072?
17. November 2025,USA Food & Drug Administration FDA,Guidance,Using Four-Part Harmony in OGD-Related Assessment Communications,https://www.linkedin.com/feed/update/urn:li:activity:7395027498658549761?
17. November 2025,World Health Organisation WHO,Guidance,The Global Smart Pharmacovigilance Strategy,https://www.linkedin.com/feed/update/urn:li:activity:7393543005460275200?
